SmartCOM:RASP:EQ:10:0.02

Received;ExchTime;Price;AskTotal;BidTotal;OI;HiLimit;LoLimit;Deposit;Rate;Message
21.04.2020 09:55:15.115;21.04.2020 00:00:00.000;104.02;5508;2505;;;;;;
21.04.2020 09:55:17.882;21.04.2020 00:00:00.000;104.02;5509;2505;;;;;;
21.04.2020 09:55:24.587;21.04.2020 00:00:00.000;104.02;5510;2505;;;;;;
21.04.2020 09:55:26.463;21.04.2020 00:00:00.000;104.02;5518;2505;;;;;;
21.04.2020 09:55:32.027;21.04.2020 00:00:00.000;104.02;5518;2515;;;;;;
21.04.2020 09:55:36.513;21.04.2020 00:00:00.000;104.02;5519;2515;;;;;;
21.04.2020 09:55:41.655;21.04.2020 00:00:00.000;104.02;5569;2515;;;;;;
21.04.2020 09:55:45.969;21.04.2020 00:00:00.000;104.02;5569;2545;;;;;;
21.04.2020 09:55:48.126;21.04.2020 00:00:00.000;104.02;5561;2545;;;;;;
21.04.2020 09:55:49.064;21.04.2020 00:00:00.000;104.02;5569;2545;;;;;;
21.04.2020 09:55:57.723;21.04.2020 00:00:00.000;104.02;5570;2545;;;;;;
21.04.2020 09:55:58.051;21.04.2020 00:00:00.000;104.02;5620;2545;;;;;;
21.04.2020 09:56:05.663;21.04.2020 00:00:00.000;104.02;5640;2545;;;;;;
21.04.2020 09:56:06.882;21.04.2020 00:00:00.000;104.02;5620;2545;;;;;;
21.04.2020 09:56:09.336;21.04.2020 00:00:00.000;104.02;5640;2545;;;;;;
21.04.2020 09:56:10.133;21.04.2020 00:00:00.000;104.02;5641;2545;;;;;;
21.04.2020 09:56:10.321;21.04.2020 00:00:00.000;104.02;5646;2545;;;;;;
21.04.2020 09:56:11.055;21.04.2020 00:00:00.000;104.02;5626;2545;;;;;;
21.04.2020 09:56:14.181;21.04.2020 00:00:00.000;104.02;5651;2545;;;;;;
21.04.2020 09:56:18.683;21.04.2020 00:00:00.000;104.02;5651;2550;;;;;;
21.04.2020 09:56:19.917;21.04.2020 00:00:00.000;104.02;5651;2590;;;;;;
21.04.2020 09:56:24.481;21.04.2020 00:00:00.000;104.02;5651;2690;;;;;;
21.04.2020 09:56:25.169;21.04.2020 00:00:00.000;104.02;5651;2691;;;;;;
21.04.2020 09:56:30.468;21.04.2020 00:00:00.000;104.02;5643;2691;;;;;;
21.04.2020 09:56:31.437;21.04.2020 00:00:00.000;104.02;5651;2691;;;;;;
