SmartCOM:RASP:EQ:10:0.02

Received;ExchTime;Price;AskTotal;BidTotal;OI;HiLimit;LoLimit;Deposit;Rate;Message
24.04.2020 09:55:18.301;24.04.2020 00:00:00.000;104.92;5408;10109;;;;;;
24.04.2020 09:55:20.348;24.04.2020 00:00:00.000;104.92;5408;10119;;;;;;
24.04.2020 09:55:21.755;24.04.2020 00:00:00.000;104.92;5427;10119;;;;;;
24.04.2020 09:55:22.849;24.04.2020 00:00:00.000;104.92;5428;10119;;;;;;
24.04.2020 09:55:24.162;24.04.2020 00:00:00.000;104.92;5429;10119;;;;;;
24.04.2020 09:55:25.490;24.04.2020 00:00:00.000;104.92;5399;10119;;;;;;
24.04.2020 09:55:26.365;24.04.2020 00:00:00.000;104.92;5299;10119;;;;;;
24.04.2020 09:55:27.303;24.04.2020 00:00:00.000;104.92;5399;10119;;;;;;
24.04.2020 09:55:28.350;24.04.2020 00:00:00.000;104.92;5399;10109;;;;;;
24.04.2020 09:55:35.430;24.04.2020 00:00:00.000;104.92;5399;10124;;;;;;
24.04.2020 09:55:35.805;24.04.2020 00:00:00.000;104.92;5399;10227;;;;;;
24.04.2020 09:55:35.883;24.04.2020 00:00:00.000;104.92;5400;10227;;;;;;
24.04.2020 09:55:40.556;24.04.2020 00:00:00.000;104.92;5450;10227;;;;;;
24.04.2020 09:55:42.103;24.04.2020 00:00:00.000;104.92;5480;10227;;;;;;
24.04.2020 09:55:47.823;24.04.2020 00:00:00.000;104.92;5480;11527;;;;;;
24.04.2020 09:55:48.526;24.04.2020 00:00:00.000;104.92;5679;11527;;;;;;
24.04.2020 09:55:51.871;24.04.2020 00:00:00.000;104.92;5729;11527;;;;;;
24.04.2020 09:55:52.386;24.04.2020 00:00:00.000;104.92;5829;11527;;;;;;
24.04.2020 09:55:56.090;24.04.2020 00:00:00.000;104.92;5859;11527;;;;;;
24.04.2020 09:56:08.140;24.04.2020 00:00:00.000;104.92;5889;11527;;;;;;
24.04.2020 09:56:09.015;24.04.2020 00:00:00.000;104.92;5939;11527;;;;;;
24.04.2020 09:56:15.938;24.04.2020 00:00:00.000;104.92;5944;11527;;;;;;
24.04.2020 09:56:20.048;24.04.2020 00:00:00.000;104.92;5914;11527;;;;;;
24.04.2020 09:56:23.080;24.04.2020 00:00:00.000;104.92;5964;11527;;;;;;
24.04.2020 09:56:24.549;24.04.2020 00:00:00.000;104.92;5964;11529;;;;;;
24.04.2020 09:56:26.862;24.04.2020 00:00:00.000;104.92;5964;11530;;;;;;
24.04.2020 09:56:27.300;24.04.2020 00:00:00.000;104.92;5994;11530;;;;;;
24.04.2020 09:56:53.821;24.04.2020 00:00:00.000;104.92;8394;11530;;;;;;
24.04.2020 09:56:54.118;24.04.2020 00:00:00.000;104.92;8394;11563;;;;;;
24.04.2020 09:56:55.509;24.04.2020 00:00:00.000;104.92;8394;11588;;;;;;
24.04.2020 09:56:56.728;24.04.2020 00:00:00.000;104.92;8494;11588;;;;;;
24.04.2020 09:56:58.119;24.04.2020 00:00:00.000;104.92;8494;11688;;;;;;
24.04.2020 09:56:59.963;24.04.2020 00:00:00.000;104.92;8514;11688;;;;;;
24.04.2020 09:57:15.091;24.04.2020 00:00:00.000;104.92;8514;11788;;;;;;
24.04.2020 09:57:35.236;24.04.2020 00:00:00.000;104.92;8814;11788;;;;;;
24.04.2020 09:57:40.940;24.04.2020 00:00:00.000;104.92;9114;11788;;;;;;
24.04.2020 09:57:42.972;24.04.2020 00:00:00.000;104.92;9114;11789;;;;;;
24.04.2020 09:57:54.928;24.04.2020 00:00:00.000;104.92;9414;11789;;;;;;
24.04.2020 09:58:01.617;24.04.2020 00:00:00.000;104.92;9421;11789;;;;;;
24.04.2020 09:58:13.057;24.04.2020 00:00:00.000;104.92;9421;11799;;;;;;
24.04.2020 09:58:13.760;24.04.2020 00:00:00.000;104.92;9421;12449;;;;;;
24.04.2020 09:58:16.010;24.04.2020 00:00:00.000;104.92;9421;13449;;;;;;
24.04.2020 09:58:20.089;24.04.2020 00:00:00.000;104.92;9421;13424;;;;;;
24.04.2020 09:58:27.497;24.04.2020 00:00:00.000;104.92;9421;13434;;;;;;
24.04.2020 09:58:32.842;24.04.2020 00:00:00.000;104.92;9621;13434;;;;;;
24.04.2020 09:58:40.469;24.04.2020 00:00:00.000;104.92;9626;13434;;;;;;
24.04.2020 09:58:42.125;24.04.2020 00:00:00.000;104.92;10827;13434;;;;;;
24.04.2020 09:58:43.907;24.04.2020 00:00:00.000;104.92;10827;13435;;;;;;
24.04.2020 09:58:45.188;24.04.2020 00:00:00.000;104.92;10827;13436;;;;;;
24.04.2020 09:58:47.830;24.04.2020 00:00:00.000;104.92;11044;13436;;;;;;
24.04.2020 09:58:49.611;24.04.2020 00:00:00.000;104.92;11044;13449;;;;;;
24.04.2020 09:58:50.846;24.04.2020 00:00:00.000;104.92;11344;13449;;;;;;
24.04.2020 09:58:51.033;24.04.2020 00:00:00.000;104.92;11344;13456;;;;;;
24.04.2020 09:58:55.909;24.04.2020 00:00:00.000;104.92;11345;13456;;;;;;
24.04.2020 09:58:58.441;24.04.2020 00:00:00.000;104.92;11545;13456;;;;;;
24.04.2020 09:59:06.146;24.04.2020 00:00:00.000;104.92;11545;14456;;;;;;
24.04.2020 09:59:09.506;24.04.2020 00:00:00.000;104.92;11545;14458;;;;;;
24.04.2020 09:59:23.728;24.04.2020 00:00:00.000;104.92;11545;14456;;;;;;
24.04.2020 09:59:24.509;24.04.2020 00:00:00.000;104.92;11545;14656;;;;;;
24.04.2020 09:59:25.072;24.04.2020 00:00:00.000;104.92;11545;15656;;;;;;
24.04.2020 09:59:35.199;24.04.2020 00:00:00.000;104.92;11546;15656;;;;;;
24.04.2020 09:59:39.637;24.04.2020 00:00:00.000;104.92;11546;15756;;;;;;
