SmartCOM:RASP:EQ:10:0.02

Received;ExchTime;Price;AskTotal;BidTotal;OI;HiLimit;LoLimit;Deposit;Rate;Message
22.04.2020 10:00:03.260;22.04.2020 09:59:55.000;101;9201;19732;;;;;;
22.04.2020 10:00:03.463;22.04.2020 09:59:55.000;101;9201;23342;;;;;;
22.04.2020 10:00:03.463;22.04.2020 09:59:55.000;101;10255;23577;;;;;;
22.04.2020 10:00:03.994;22.04.2020 09:59:55.000;101;10315;23577;;;;;;
22.04.2020 10:00:04.088;22.04.2020 09:59:55.000;101;10446;23669;;;;;;
22.04.2020 10:00:04.447;22.04.2020 09:59:55.000;101;10386;23669;;;;;;
22.04.2020 10:00:04.494;22.04.2020 09:59:55.000;101;10446;23669;;;;;;
22.04.2020 10:00:04.948;22.04.2020 09:59:55.000;101;10418;23669;;;;;;
22.04.2020 10:00:05.010;22.04.2020 09:59:55.000;101;10446;23669;;;;;;
22.04.2020 10:00:06.245;22.04.2020 09:59:55.000;101;10366;23669;;;;;;
22.04.2020 10:00:06.292;22.04.2020 09:59:55.000;101;10446;23669;;;;;;
22.04.2020 10:00:07.057;22.04.2020 09:59:55.000;101;10446;23769;;;;;;
22.04.2020 10:00:07.120;22.04.2020 09:59:55.000;101;10446;23779;;;;;;
22.04.2020 10:00:07.276;22.04.2020 09:59:55.000;101;10372;23905;;;;;;
22.04.2020 10:00:07.370;22.04.2020 09:59:55.000;101;10372;24267;;;;;;
22.04.2020 10:00:07.698;22.04.2020 09:59:55.000;101;10373;24279;;;;;;
22.04.2020 10:00:07.776;22.04.2020 09:59:55.000;101;10374;24279;;;;;;
22.04.2020 10:00:07.854;22.04.2020 09:59:55.000;101;10375;24279;;;;;;
22.04.2020 10:00:08.183;22.04.2020 09:59:55.000;101;10375;24280;;;;;;
22.04.2020 10:00:08.230;22.04.2020 09:59:55.000;101;10575;24280;;;;;;
22.04.2020 10:00:08.339;22.04.2020 09:59:55.000;101;10575;28460;;;;;;
22.04.2020 10:00:08.511;22.04.2020 09:59:55.000;101;10575;28461;;;;;;
22.04.2020 10:00:08.542;22.04.2020 09:59:55.000;101;10576;28461;;;;;;
