SmartCOM:RASP:EQ:10:0.02

Received;ExchTime;Price;AskTotal;BidTotal;OI;HiLimit;LoLimit;Deposit;Rate;Message
23.04.2020 09:55:12.573;23.04.2020 00:00:00.000;105.82;12680;5235;;;;;;
23.04.2020 09:55:21.622;23.04.2020 00:00:00.000;105.82;12690;5235;;;;;;
23.04.2020 09:55:22.294;23.04.2020 00:00:00.000;105.82;12725;5235;;;;;;
23.04.2020 09:55:29.592;23.04.2020 00:00:00.000;105.82;12825;5235;;;;;;
23.04.2020 09:55:35.796;23.04.2020 00:00:00.000;105.82;13125;5235;;;;;;
23.04.2020 09:55:40.031;23.04.2020 00:00:00.000;105.82;13127;5235;;;;;;
23.04.2020 09:55:51.361;23.04.2020 00:00:00.000;105.82;13127;5236;;;;;;
23.04.2020 09:55:52.799;23.04.2020 00:00:00.000;105.82;13227;5236;;;;;;
23.04.2020 09:55:55.596;23.04.2020 00:00:00.000;105.82;13527;5236;;;;;;
23.04.2020 09:55:59.737;23.04.2020 00:00:00.000;105.82;13527;5238;;;;;;
23.04.2020 09:56:00.456;23.04.2020 00:00:00.000;105.82;13727;5238;;;;;;
23.04.2020 09:56:05.738;23.04.2020 00:00:00.000;105.82;13757;5238;;;;;;
23.04.2020 09:56:09.255;23.04.2020 00:00:00.000;105.82;13857;5238;;;;;;
23.04.2020 09:56:16.709;23.04.2020 00:00:00.000;105.82;13857;5258;;;;;;
23.04.2020 09:56:18.006;23.04.2020 00:00:00.000;105.82;14157;5258;;;;;;
23.04.2020 09:56:27.258;23.04.2020 00:00:00.000;105.82;14157;5408;;;;;;
23.04.2020 09:56:32.071;23.04.2020 00:00:00.000;105.82;14757;5408;;;;;;
23.04.2020 09:56:33.118;23.04.2020 00:00:00.000;105.82;14857;5408;;;;;;
23.04.2020 09:56:38.181;23.04.2020 00:00:00.000;105.82;14857;5418;;;;;;
23.04.2020 09:56:43.667;23.04.2020 00:00:00.000;105.82;14857;5428;;;;;;
23.04.2020 09:56:47.136;23.04.2020 00:00:00.000;105.82;14857;5531;;;;;;
23.04.2020 09:56:50.762;23.04.2020 00:00:00.000;105.82;14857;5561;;;;;;
23.04.2020 09:56:54.856;23.04.2020 00:00:00.000;105.82;14858;5561;;;;;;
23.04.2020 09:56:57.372;23.04.2020 00:00:00.000;105.82;14958;5561;;;;;;
23.04.2020 09:56:57.794;23.04.2020 00:00:00.000;105.82;16158;5561;;;;;;
23.04.2020 09:56:59.044;23.04.2020 00:00:00.000;105.82;16158;5571;;;;;;
23.04.2020 09:57:07.749;23.04.2020 00:00:00.000;105.82;16158;5572;;;;;;
23.04.2020 09:57:13.125;23.04.2020 00:00:00.000;105.82;16153;5572;;;;;;
23.04.2020 09:57:15.203;23.04.2020 00:00:00.000;105.82;16253;5572;;;;;;
23.04.2020 09:57:16.109;23.04.2020 00:00:00.000;105.82;16253;5573;;;;;;
23.04.2020 09:57:21.939;23.04.2020 00:00:00.000;105.82;16340;5573;;;;;;
23.04.2020 09:57:22.814;23.04.2020 00:00:00.000;105.82;16345;5573;;;;;;
23.04.2020 09:57:23.017;23.04.2020 00:00:00.000;105.82;16346;5573;;;;;;
23.04.2020 09:57:23.798;23.04.2020 00:00:00.000;105.82;16356;5573;;;;;;
23.04.2020 09:57:26.033;23.04.2020 00:00:00.000;105.82;16356;5574;;;;;;
23.04.2020 09:57:27.533;23.04.2020 00:00:00.000;105.82;16656;5574;;;;;;
