SmartCOM:RASP:EQ:10:0.02

Received;ExchTime;Price;AskTotal;BidTotal;OI;HiLimit;LoLimit;Deposit;Rate;Message
20.04.2020 09:55:12.424;20.04.2020 00:00:00.000;104.6;5637;3398;;;;;;
20.04.2020 09:55:13.393;20.04.2020 00:00:00.000;104.6;5638;3398;;;;;;
20.04.2020 09:55:14.894;20.04.2020 00:00:00.000;104.6;5608;3398;;;;;;
20.04.2020 09:55:18.739;20.04.2020 00:00:00.000;104.6;5708;3398;;;;;;
20.04.2020 09:55:20.178;20.04.2020 00:00:00.000;104.6;5708;3408;;;;;;
20.04.2020 09:55:21.522;20.04.2020 00:00:00.000;104.6;5707;3408;;;;;;
20.04.2020 09:55:21.788;20.04.2020 00:00:00.000;104.6;5708;3408;;;;;;
20.04.2020 09:55:24.898;20.04.2020 00:00:00.000;104.6;5923;3408;;;;;;
20.04.2020 09:55:35.497;20.04.2020 00:00:00.000;104.6;5953;3408;;;;;;
20.04.2020 09:55:36.482;20.04.2020 00:00:00.000;104.6;6053;3408;;;;;;
20.04.2020 09:55:42.266;20.04.2020 00:00:00.000;104.6;6053;3410;;;;;;
20.04.2020 09:55:46.361;20.04.2020 00:00:00.000;104.6;6053;3510;;;;;;
20.04.2020 09:55:47.080;20.04.2020 00:00:00.000;104.6;6053;3519;;;;;;
20.04.2020 09:55:48.691;20.04.2020 00:00:00.000;104.6;6054;3519;;;;;;
20.04.2020 09:55:56.022;20.04.2020 00:00:00.000;104.6;6104;3519;;;;;;
20.04.2020 09:55:58.992;20.04.2020 00:00:00.000;104.6;6204;3519;;;;;;
20.04.2020 09:55:59.930;20.04.2020 00:00:00.000;104.6;6209;3519;;;;;;
20.04.2020 09:56:03.869;20.04.2020 00:00:00.000;104.6;6209;4019;;;;;;
20.04.2020 09:56:05.526;20.04.2020 00:00:00.000;104.6;6210;4019;;;;;;
20.04.2020 09:56:08.528;20.04.2020 00:00:00.000;104.6;6215;4019;;;;;;
20.04.2020 09:56:10.185;20.04.2020 00:00:00.000;104.6;6215;4420;;;;;;
20.04.2020 09:56:10.654;20.04.2020 00:00:00.000;104.6;6215;4421;;;;;;
20.04.2020 09:56:14.483;20.04.2020 00:00:00.000;104.6;6215;4422;;;;;;
20.04.2020 09:56:19.564;20.04.2020 00:00:00.000;104.6;6205;4422;;;;;;
20.04.2020 09:56:21.690;20.04.2020 00:00:00.000;104.6;6205;4423;;;;;;
20.04.2020 09:56:22.550;20.04.2020 00:00:00.000;104.6;6305;4423;;;;;;
20.04.2020 09:56:22.722;20.04.2020 00:00:00.000;104.6;6305;4426;;;;;;
20.04.2020 09:56:25.785;20.04.2020 00:00:00.000;104.6;6310;4426;;;;;;
20.04.2020 09:56:27.661;20.04.2020 00:00:00.000;104.6;6310;4427;;;;;;
20.04.2020 09:56:29.099;20.04.2020 00:00:00.000;104.6;6310;4467;;;;;;
20.04.2020 09:56:30.256;20.04.2020 00:00:00.000;104.6;6310;4567;;;;;;
20.04.2020 09:56:31.194;20.04.2020 00:00:00.000;104.6;6310;4568;;;;;;
20.04.2020 09:56:31.929;20.04.2020 00:00:00.000;104.6;6305;4568;;;;;;
20.04.2020 09:56:32.023;20.04.2020 00:00:00.000;104.6;6310;4568;;;;;;
